Recording Name,Subject,Metric,Value,SubjectID,Block,Module
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power(ms²),181.9470735972488,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Percent(%),16.29662336157953,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Norm.,0.2444127080861815,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Peak(Hz),0.150390625,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Total Power(ms²),1116.470998686773,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,LF/HF,3.091440284878286,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,SD1(ms),13.56688651647894,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,SD2(ms),55.9692359236773,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,A++(count),112.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,B--(count),144.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Mean IBI(ms),715.6343005952376,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Mean HR(bpm),84.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,SDNN(ms),37.07629677281756,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,SDANN(ms),0.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,RMSSD(ms),21.31159485435296,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,SDSD(ms),21.33177843848748,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,pNN50(%),2.982107355864811,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,pNN20(%),30.21868787276342,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power(ms²),30.1863806834067,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Power Percent(%),2.877650428417099,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Peak(Hz),0.0009765625,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power(ms²),304.7084699779614,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Power Percent(%),29.04768439683783,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Peak(Hz),0.00390625,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power(ms²),517.6624325022666,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Percent(%),49.3484640072945,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Power Norm.,0.7249167348912972,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Peak(Hz),0.099609375,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power(ms²),196.4367289412766,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Percent(%),18.72620116745058,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Power Norm.,0.2750832651087028,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Peak(Hz),0.150390625,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Total Power(ms²),1048.994012104911,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,LF/HF,2.635262943403106,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain TP & LF/HF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,SD1(ms),15.08384518862348,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,SD2(ms),50.2173394267132,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,A++(count),119.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,B--(count),132.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Nonlinear
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Mean IBI(ms),748.0490499721614,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Mean HR(bpm),80.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDNN(ms),47.56429471799187,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDANN(ms),8.31294809099683,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,RMSSD(ms),28.46162214591286,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,SDSD(ms),28.47739823286426,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,pNN50(%),7.692307692307693,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,pNN20(%),44.48160535117057,export_P01_sheets,P,ECG HRV Time Domain
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Time Domain
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Power(ms²),75.59222797274397,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Power Percent(%),3.724832445413103,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Peak(Hz),0.0009765625,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain ULF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Power(ms²),706.9957531008313,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Power Percent(%),34.83745340683407,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Peak(Hz),0.00390625,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  VLF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r3,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power(ms²),936.9563598099896,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power Percent(%),46.16883960894474,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Power Norm.,0.7514739154831241,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Peak(Hz),0.0986328125,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r2,被试001,Segment Count,1.0,export_P01_sheets,P,ECG HRV Frequency Domain  LF Data
p01-r1,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
p01-r2,被试001,Sensor Name,,export_P01_sheets,P,ECG HRV Frequency Domain HF Data
